id,explanation_reporting,explanation_legal,explanation_stlt,explanation_norm,explanation_harm,explanation_kant,explanation_main,ethical_reporting,ethical_legal,ethical_stlt,ethical_norm,ethical_harm,ethical_kant,ethical_main,type,survey,current_policy_ethic,new_policy_ethic,current_policy_lying,new_policy_lying,current_policy_deceptive,new_policy_deceptive,current_policy_dishonest,new_policy_dishonest,current_policy_untruthful,new_policy_untruthful,recommend_new_policy,board_vote,age,race,race_other,gender,gender_other,study,gpa,risk_tolerance,political_affiliation,political_affiliation_other,cheating_answer,score_self_reported,score_true,score_20,score_20_truthful,male,business_econ,under_represented,cheating,misreporting,trust,model,temperature
52,0.0,0.0,1.0,0.0,0.0,1.0,C,,,,,,,,llm,overreporting,3,2,2,3,4,4,3,4,4,3,No,Against,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
23,1.0,0.0,1.0,0.0,0.0,0.0,C,,,,,,,,llm,overreporting,3,2,4,5,4,5,4,5,5,5,No,Against,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
36,1.0,0.0,1.0,0.0,1.0,0.0,A,,,,,,,,llm,overreporting,3,2,4,4,4,4,3,3,3,3,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
39,1.0,0.0,1.0,0.0,1.0,1.0,A,,,,,,,,llm,overreporting,3,2,4,3,4,3,3,3,2,2,No,Against,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
48,1.0,0.0,0.0,0.0,1.0,0.0,A,,,,,,,,llm,overreporting,3,4,4,3,4,2,3,3,4,2,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
55,0.0,1.0,0.0,0.0,1.0,1.0,F,,,,,,,,llm,overreporting,3,1,4,5,4,5,3,5,2,5,No,Against,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
40,0.0,1.0,1.0,0.0,1.0,1.0,F,,,,,,,,llm,overreporting,3,4,5,4,5,4,5,4,5,4,No,Against,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
4,1.0,0.0,0.0,0.0,1.0,0.0,A,,,,,,,,llm,overreporting,3,5,3,5,4,5,4,4,4,4,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
31,1.0,0.0,0.0,0.0,1.0,0.0,A,,,,,,,,llm,overreporting,3,2,3,4,2,3,5,5,4,3,No,Follow Consensus,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
24,0.0,0.0,1.0,0.0,0.0,1.0,C,,,,,,,,llm,overreporting,4,3,4,3,3,3,4,3,4,3,Yes,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
5,0.0,1.0,1.0,0.0,1.0,1.0,B,,,,,,,,llm,overreporting,3,2,3,4,4,5,4,3,5,5,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
41,1.0,0.0,0.0,0.0,0.0,1.0,A,,,,,,,,llm,overreporting,3,4,4,5,5,5,4,5,4,5,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
54,0.0,1.0,1.0,0.0,0.0,0.0,C,,,,,,,,llm,overreporting,3,2,4,3,4,4,4,2,4,2,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
25,0.0,0.0,1.0,0.0,0.0,1.0,F,,,,,,,,llm,overreporting,3,2,4,3,5,3,4,3,4,3,No,Against,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
30,0.0,1.0,1.0,0.0,0.0,0.0,C,,,,,,,,llm,overreporting,3,2,2,3,4,4,4,3,5,4,No,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
38,1.0,1.0,0.0,0.0,1.0,0.0,A,,,,,,,,llm,overreporting,3,2,3,4,3,4,3,4,3,4,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
49,0.0,1.0,1.0,0.0,0.0,1.0,C,,,,,,,,llm,overreporting,3,2,4,3,2,2,4,4,4,5,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
53,0.0,0.0,1.0,0.0,1.0,1.0,F,,,,,,,,llm,overreporting,3,2,3,4,3,4,3,4,2,2,No,Against,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
46,1.0,0.0,1.0,0.0,1.0,0.0,A,,,,,,,,llm,overreporting,2,4,4,3,4,3,5,4,5,4,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
2,1.0,0.0,1.0,0.0,1.0,0.0,C,,,,,,,,llm,overreporting,4,3,3,4,4,4,2,3,3,3,No,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
37,1.0,0.0,0.0,0.0,1.0,0.0,A,,,,,,,,llm,overreporting,3,2,2,2,3,4,4,4,5,5,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
22,0.0,1.0,1.0,0.0,0.0,1.0,C,,,,,,,,llm,overreporting,3,4,4,3,4,3,4,3,4,3,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
61,0.0,0.0,1.0,0.0,1.0,0.0,C,,,,,,,,llm,underreporting,2,3,4,3,3,3,4,2,5,4,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
74,0.0,0.0,1.0,0.0,0.0,1.0,C,,,,,,,,llm,underreporting,3,2,4,3,3,3,4,2,3,3,No,Against,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
10,0.0,1.0,0.0,0.0,0.0,0.0,B,,,,,,,,llm,underreporting,4,3,4,4,3,4,3,4,3,3,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
4,0.0,0.0,1.0,1.0,1.0,0.0,C,,,,,,,,llm,underreporting,3,2,3,2,4,1,3,2,3,2,No,Against,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
96,0.0,0.0,1.0,0.0,0.0,1.0,C,,,,,,,,llm,underreporting,4,2,3,2,4,2,4,4,4,3,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
83,0.0,1.0,1.0,0.0,1.0,1.0,C,,,,,,,,llm,underreporting,3,2,3,4,4,1,2,5,4,3,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
18,0.0,1.0,1.0,0.0,0.0,1.0,C,,,,,,,,llm,underreporting,3,1,4,3,3,3,2,3,4,3,No,Against,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
69,1.0,1.0,1.0,0.0,1.0,0.0,B,,,,,,,,llm,underreporting,2,3,4,3,3,3,5,5,4,5,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
73,0.0,1.0,1.0,0.0,1.0,0.0,C,,,,,,,,llm,underreporting,3,2,4,3,4,3,3,3,2,2,No,Against,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
66,0.0,1.0,0.0,0.0,1.0,0.0,B,,,,,,,,llm,underreporting,3,2,3,4,3,4,3,5,2,4,No,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
99,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,llm,underreporting,3,2,4,3,4,3,5,3,3,3,No,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
100,1.0,0.0,0.0,0.0,1.0,0.0,A,,,,,,,,llm,underreporting,3,2,2,4,4,4,3,4,3,4,No,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
17,0.0,1.0,1.0,0.0,1.0,0.0,E,,,,,,,,llm,underreporting,3,4,4,3,3,2,2,1,3,2,No,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
84,1.0,0.0,1.0,0.0,0.0,0.0,C,,,,,,,,llm,underreporting,3,2,4,4,3,3,3,2,3,1,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
91,0.0,1.0,1.0,0.0,0.0,1.0,C,,,,,,,,llm,underreporting,3,2,2,3,2,3,2,3,3,3,Yes,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
3,0.0,0.0,0.0,0.0,0.0,1.0,F,,,,,,,,llm,underreporting,3,2,3,2,4,4,4,4,4,4,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
2,0.0,0.0,1.0,0.0,0.0,1.0,C,,,,,,,,llm,underreporting,3,2,4,3,4,3,4,3,4,2,Yes,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
90,1.0,1.0,0.0,0.0,1.0,0.0,B,,,,,,,,llm,underreporting,3,2,3,3,4,4,4,4,5,4,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
85,1.0,0.0,0.0,0.0,1.0,0.0,A,,,,,,,,llm,underreporting,3,2,2,3,4,4,3,3,4,4,No,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
67,0.0,0.0,0.0,0.0,0.0,1.0,F,,,,,,,,llm,underreporting,3,2,3,3,4,4,5,5,5,5,No,Against,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
72,1.0,0.0,1.0,1.0,1.0,0.0,A,,,,,,,,llm,underreporting,3,2,4,3,4,4,3,3,3,3,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
16,1.0,0.0,0.0,0.0,1.0,0.0,A,,,,,,,,llm,underreporting,3,2,3,4,1,4,5,1,3,4,No,Against,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
98,0.0,0.0,1.0,0.0,0.0,1.0,C,,,,,,,,llm,underreporting,2,3,5,4,5,4,5,4,5,4,No,Against,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
19,0.0,1.0,1.0,0.0,1.0,1.0,F,,,,,,,,llm,underreporting,3,2,3,4,4,4,3,3,3,2,No,Against,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
82,1.0,0.0,0.0,0.0,1.0,0.0,A,,,,,,,,llm,underreporting,3,1,4,3,4,3,4,3,3,3,No,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
97,1.0,0.0,0.0,0.0,1.0,0.0,A,,,,,,,,llm,underreporting,4,2,4,3,4,3,1,1,4,2,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
5,0.0,1.0,1.0,0.0,0.0,1.0,F,,,,,,,,llm,underreporting,3,2,3,4,3,3,2,4,2,2,No,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
68,0.0,0.0,0.0,0.0,1.0,1.0,F,,,,,,,,llm,underreporting,4,2,4,4,3,3,3,3,2,2,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
75,0.0,0.0,0.0,0.0,0.0,1.0,F,,,,,,,,llm,underreporting,3,4,3,4,4,2,2,1,5,4,No,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
60,1.0,1.0,0.0,0.0,1.0,0.0,A,,,,,,,,llm,underreporting,3,4,4,3,4,3,4,4,4,4,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
11,0.0,1.0,0.0,0.0,0.0,0.0,B,,,,,,,,llm,underreporting,3,2,3,4,1,1,3,2,1,1,No,Against,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
7,0.0,1.0,1.0,0.0,0.0,1.0,C,,,,,,,,llm,underreporting,3,2,4,4,4,3,4,3,3,2,No,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
80,1.0,0.0,0.0,0.0,1.0,0.0,E,,,,,,,,llm,underreporting,3,2,4,5,4,5,5,5,5,5,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
95,0.0,1.0,1.0,0.0,1.0,0.0,C,,,,,,,,llm,underreporting,4,3,4,4,3,3,3,3,3,2,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
13,0.0,1.0,1.0,0.0,0.0,1.0,C,,,,,,,,llm,underreporting,4,2,2,3,4,3,4,3,5,5,Yes,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
88,1.0,1.0,0.0,0.0,0.0,0.0,A,,,,,,,,llm,underreporting,3,2,3,4,4,3,5,5,5,5,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
77,1.0,0.0,0.0,0.0,1.0,0.0,A,,,,,,,,llm,underreporting,2,3,2,3,4,3,4,4,4,4,No,Follow Consensus,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
62,0.0,0.0,1.0,0.0,0.0,1.0,C,,,,,,,,llm,underreporting,3,4,3,4,4,4,3,4,3,4,Yes,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
78,1.0,1.0,1.0,0.0,1.0,0.0,A,,,,,,,,llm,underreporting,4,2,3,4,3,4,2,2,3,3,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
92,0.0,1.0,1.0,0.0,0.0,0.0,C,,,,,,,,llm,underreporting,3,2,4,3,4,4,5,3,5,4,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
87,0.0,0.0,0.0,0.0,0.0,1.0,F,,,,,,,,llm,underreporting,4,3,5,4,5,4,5,4,3,3,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
8,0.0,1.0,1.0,0.0,1.0,0.0,B,,,,,,,,llm,underreporting,3,2,3,4,4,3,3,3,1,2,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
14,0.0,1.0,1.0,0.0,0.0,1.0,F,,,,,,,,llm,underreporting,3,2,3,4,5,5,4,5,4,4,No,Against,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
65,0.0,0.0,1.0,0.0,0.0,1.0,C,,,,,,,,llm,underreporting,2,3,3,4,4,4,4,4,5,5,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
70,0.0,1.0,1.0,0.0,0.0,0.0,B,,,,,,,,llm,underreporting,3,2,3,4,4,4,3,4,3,4,No,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
15,1.0,0.0,0.0,0.0,1.0,0.0,A,,,,,,,,llm,underreporting,3,2,2,4,3,2,2,3,4,3,No,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
9,0.0,1.0,1.0,0.0,1.0,0.0,B,,,,,,,,llm,underreporting,3,2,4,3,4,2,3,3,3,2,No,Against,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
71,0.0,1.0,1.0,0.0,0.0,1.0,C,,,,,,,,llm,underreporting,3,2,4,3,4,3,4,3,4,4,No,Follow Consensus,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
64,1.0,0.0,0.0,0.0,1.0,1.0,F,,,,,,,,llm,underreporting,3,2,4,3,4,4,5,2,3,2,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
79,1.0,0.0,0.0,0.0,1.0,0.0,A,,,,,,,,llm,underreporting,3,2,3,4,4,4,2,3,5,3,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
1,0.0,1.0,1.0,0.0,0.0,1.0,F,,,,,,,,llm,underreporting,3,2,4,4,3,2,2,2,3,2,No,Against,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
86,0.0,1.0,1.0,0.0,0.0,1.0,F,,,,,,,,llm,underreporting,3,2,3,4,4,4,5,5,5,5,Yes,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
93,1.0,0.0,0.0,0.0,1.0,0.0,A,,,,,,,,llm,underreporting,3,2,3,4,4,4,4,4,5,5,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
89,0.0,1.0,1.0,0.0,1.0,1.0,F,,,,,,,,llm,underreporting,3,2,4,4,3,3,3,3,3,3,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
12,0.0,0.0,1.0,0.0,0.0,1.0,C,,,,,,,,llm,underreporting,3,2,2,4,3,4,3,4,3,4,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
63,1.0,0.0,0.0,0.0,1.0,0.0,A,,,,,,,,llm,underreporting,3,2,2,4,3,5,3,5,4,5,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
76,1.0,0.0,1.0,0.0,1.0,0.0,A,,,,,,,,llm,underreporting,3,2,2,3,4,3,4,4,4,4,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
94,0.0,0.0,1.0,0.0,0.0,1.0,C,,,,,,,,llm,underreporting,2,4,3,3,4,3,2,2,1,1,Yes,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
81,0.0,1.0,1.0,0.0,1.0,1.0,C,,,,,,,,llm,underreporting,3,2,4,3,5,2,1,4,4,4,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
6,0.0,0.0,1.0,0.0,0.0,1.0,C,,,,,,,,llm,underreporting,3,2,3,4,3,4,3,4,4,4,Yes,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
33,0.0,1.0,1.0,0.0,0.0,1.0,C,,,,,,,,llm,underreporting,3,2,4,3,2,2,3,2,1,2,No,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
26,1.0,0.0,1.0,0.0,1.0,0.0,A,,,,,,,,llm,underreporting,3,2,4,4,3,3,3,3,3,3,No,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
57,0.0,1.0,1.0,0.0,0.0,0.0,C,,,,,,,,llm,underreporting,3,2,3,4,4,4,5,4,5,4,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
42,0.0,0.0,1.0,0.0,0.0,1.0,C,,,,,,,,llm,underreporting,3,2,4,3,4,3,4,3,4,4,No,Against,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
21,0.0,0.0,0.0,0.0,1.0,0.0,E,,,,,,,,llm,underreporting,3,2,3,2,4,3,1,3,4,2,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
34,1.0,0.0,1.0,0.0,1.0,0.0,A,,,,,,,,llm,underreporting,3,2,4,3,2,2,1,2,2,3,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
45,0.0,0.0,1.0,0.0,0.0,1.0,C,,,,,,,,llm,underreporting,3,4,2,3,4,4,3,3,4,4,Yes,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
50,0.0,1.0,1.0,0.0,0.0,1.0,C,,,,,,,,llm,underreporting,2,3,4,3,4,3,3,3,3,2,No,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
58,1.0,0.0,0.0,0.0,1.0,0.0,A,,,,,,,,llm,underreporting,3,2,3,4,3,3,4,3,4,3,No,Against,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
29,0.0,1.0,0.0,0.0,1.0,1.0,F,,,,,,,,llm,underreporting,3,4,3,4,4,5,2,2,1,2,No,Against,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
59,0.0,0.0,1.0,0.0,0.0,0.0,C,,,,,,,,llm,underreporting,3,2,3,4,2,3,3,2,3,4,No,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
28,0.0,1.0,1.0,0.0,1.0,1.0,F,,,,,,,,llm,underreporting,3,2,3,4,3,3,4,4,2,2,No,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
35,1.0,1.0,0.0,0.0,1.0,0.0,A,,,,,,,,llm,underreporting,3,2,5,4,4,3,3,2,2,2,No,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
20,0.0,1.0,1.0,0.0,1.0,0.0,E,,,,,,,,llm,underreporting,4,3,3,2,4,3,4,3,4,3,No,Against,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
51,1.0,1.0,1.0,0.0,1.0,0.0,C,,,,,,,,llm,underreporting,3,2,4,4,3,3,4,3,3,3,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
44,0.0,0.0,1.0,0.0,0.0,1.0,F,,,,,,,,llm,underreporting,3,2,3,4,3,4,3,4,3,4,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
27,,,,,,,,,,,,,,,llm,underreporting,3,2,3,4,5,3,5,3,5,4,No,Against,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
32,1.0,0.0,0.0,1.0,1.0,0.0,A,,,,,,,,llm,underreporting,3,2,4,4,3,3,2,2,1,1,No,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
43,0.0,0.0,1.0,0.0,0.0,1.0,C,,,,,,,,llm,underreporting,3,4,4,3,4,2,3,2,4,3,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
56,1.0,0.0,0.0,0.0,1.0,0.0,A,,,,,,,,llm,underreporting,2,4,3,4,4,4,4,4,4,4,No,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
38,1.0,1.0,0.0,0.0,1.0,0.0,A,,,,,,,,llm,underreporting,3,4,3,4,4,4,3,4,3,4,No,Against,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
49,1.0,0.0,1.0,0.0,1.0,0.0,A,,,,,,,,llm,underreporting,3,2,3,4,2,3,3,3,3,3,No,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
41,1.0,0.0,0.0,0.0,1.0,0.0,E,,,,,,,,llm,underreporting,3,2,3,4,4,4,3,4,4,4,No,Against,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
54,1.0,1.0,1.0,0.0,1.0,0.0,A,,,,,,,,llm,underreporting,3,2,2,3,4,3,4,4,4,4,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
25,1.0,0.0,0.0,0.0,1.0,0.0,A,,,,,,,,llm,underreporting,3,2,4,3,2,3,4,3,4,3,No,Against,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
30,1.0,0.0,0.0,0.0,1.0,0.0,A,,,,,,,,llm,underreporting,4,3,4,4,4,4,4,4,4,4,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
53,0.0,1.0,1.0,0.0,0.0,1.0,C,,,,,,,,llm,underreporting,3,2,4,4,4,4,3,3,3,3,No,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
46,0.0,1.0,0.0,0.0,0.0,1.0,F,,,,,,,,llm,underreporting,3,1,3,4,3,4,2,4,3,4,No,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
37,0.0,0.0,1.0,0.0,1.0,1.0,F,,,,,,,,llm,underreporting,3,3,4,4,4,4,4,4,4,4,No,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
22,0.0,0.0,1.0,0.0,1.0,1.0,C,,,,,,,,llm,underreporting,3,1,4,3,4,4,4,3,4,2,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
47,0.0,0.0,1.0,0.0,0.0,1.0,C,,,,,,,,llm,underreporting,3,2,4,4,3,4,4,4,4,4,No,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
52,0.0,1.0,1.0,0.0,1.0,0.0,B,,,,,,,,llm,underreporting,3,4,4,3,4,3,4,4,4,4,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
23,1.0,0.0,1.0,0.0,1.0,0.0,A,,,,,,,,llm,underreporting,3,4,4,3,4,3,3,3,4,2,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
36,0.0,1.0,1.0,0.0,0.0,1.0,C,,,,,,,,llm,underreporting,4,2,4,3,3,2,2,2,2,2,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
55,0.0,0.0,1.0,0.0,0.0,1.0,C,,,,,,,,llm,underreporting,3,4,4,3,4,3,3,3,4,3,No,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
40,1.0,0.0,0.0,0.0,1.0,0.0,A,,,,,,,,llm,underreporting,3,2,4,3,4,3,2,2,3,2,No,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
31,1.0,0.0,0.0,0.0,1.0,0.0,A,,,,,,,,llm,underreporting,3,2,3,4,4,4,3,3,4,4,No,Abstain,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
24,0.0,1.0,1.0,0.0,0.0,1.0,F,,,,,,,,llm,underreporting,3,2,4,3,4,3,3,3,3,3,Yes,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
39,0.0,1.0,0.0,0.0,0.0,0.0,B,,,,,,,,llm,underreporting,4,2,4,3,3,2,4,3,2,1,No,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
48,0.0,1.0,1.0,0.0,0.0,1.0,C,,,,,,,,llm,underreporting,3,4,5,4,5,3,5,3,5,3,No,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:2b,
26,0.0,1.0,1.0,0.0,0.0,1.0,F,,,,,,,,llm,overreporting,2,4,4,1,4,1,4,1,4,1,Yes,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:9b,
33,0.0,0.0,1.0,0.0,0.0,1.0,C,,,,,,,,llm,overreporting,2,4,4,1,4,1,4,1,4,1,Yes,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:9b,
42,1.0,0.0,0.0,0.0,1.0,0.0,A,,,,,,,,llm,overreporting,2,4,5,1,5,1,5,1,5,1,No,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:9b,
57,0.0,1.0,1.0,0.0,0.0,1.0,C,,,,,,,,llm,overreporting,3,4,5,1,5,1,5,1,5,1,Yes,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:9b,
34,0.0,0.0,1.0,0.0,0.0,1.0,F,,,,,,,,llm,overreporting,2,4,5,1,5,1,5,1,5,1,Yes,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:9b,
21,0.0,1.0,1.0,0.0,0.0,1.0,C,,,,,,,,llm,overreporting,2,4,4,1,4,1,4,1,4,1,Yes,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:9b,
50,0.0,1.0,1.0,0.0,0.0,1.0,C,,,,,,,,llm,overreporting,3,4,4,1,4,1,4,1,4,1,Yes,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:9b,
45,0.0,0.0,1.0,0.0,0.0,1.0,F,,,,,,,,llm,overreporting,2,4,5,1,5,1,5,1,5,1,Yes,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:9b,
58,1.0,0.0,0.0,0.0,1.0,0.0,A,,,,,,,,llm,overreporting,3,4,4,1,4,1,4,1,4,1,No,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:9b,
29,0.0,0.0,1.0,0.0,0.0,1.0,C,,,,,,,,llm,overreporting,3,4,4,1,4,1,4,1,4,1,Yes,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:9b,
59,0.0,1.0,1.0,0.0,0.0,1.0,F,,,,,,,,llm,overreporting,3,4,4,1,4,1,4,1,4,1,Yes,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:9b,
28,0.0,0.0,1.0,0.0,0.0,1.0,C,,,,,,,,llm,overreporting,3,4,4,2,4,2,4,2,4,2,Yes,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:9b,
20,0.0,1.0,1.0,0.0,0.0,1.0,F,,,,,,,,llm,overreporting,3,4,5,1,5,1,5,1,5,1,Yes,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:9b,
35,0.0,0.0,1.0,0.0,1.0,0.0,C,,,,,,,,llm,overreporting,2,4,4,1,5,1,4,1,5,1,Yes,In Favor,,,,,,,,,,,,,,,,,,,,,,gemma2:9b,
