Q104,Q104_4_TEXT,Q107,Q107_4_TEXT,Q11_1,Q11_2,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q13,Q14,Q15,Q16,Q17,Q120,Q120_4_TEXT,Q123,Q123_4_TEXT,Q11_1,Q11_2,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q13,Q14,Q15,Q16,Q17,Q1,Q5,Q5_7_TEXT,Q37,Q37_4_TEXT,Q38,Q39,Q40_1,Q41_1,Q41_2,Q41_3,Q41_4,Q41_5,Q41_6,Q41_7,Q41_8,Q42,Q42_4_TEXT,Q70,Q72,Q66,Q62,Q74,Q64,Q71,Q73,Q83,Q84,Q80,Q78,Q79,SC0,id,attemptCount,attemptCount2,Test score
$4.50 ,,$4.75 ,,2,3,Agree,Disagree,Agree strongly,Disagree,Agree,Disagree,Agree,Disagree,Yes,Switch to the new policy,Clear and concise wording that makes it easy for all investors to follow and integrate into their practices,No questions,In Favor (adopt new policy),,,,,,,,,,,,,,,,,,,,21,Black or African American,,Male,,Finance/Entrepreneurship,3.7,7,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Democrat,,42,the traveler would not necessarily end up in the same place in (1) or (2),White,60 minutes,Be a common cold virus thrown into sulfuric acid,"""Does your door lead to freedom?""",the unstoppable force goes around the immovable object,no country presses the button and the status-quo remains,star,1,10,7,10,3,29728,0,0,3
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,3,2,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Agree,No,Leave it to the old poliicy,"Not managing earnings up, and not automatically rounding the EPS",No questions,Against (retain current policy),21,"White,Spanish, Hispanic, or Latino",,Female,,accounting,3.4,9,Neither agree or disagree,Disagree,Disagree,Agree strongly,Disagree strongly,Disagree,Agree,Disagree,Independent,,42,"the traveler would necessarily end up in the same place in (1), but not necessarily in (2)",Impossible to tell,90 minutes,Be an alien on the surface of a star going supernova,"""Will you let me through the correct door?""",the immovable object repels the unstoppable force,"one country presses the button and the others do not, that country wins the war",the sun,11,,3,3,3,29650,0,0,3
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,3,4,Agree strongly,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Yes,It allows for better transparency and future simplicity,"It should be entirely truthful and reflect the actual situation of the company. Lying to investors, employees, or other companies is ethically wrong and should be corrected immediately.",No questions,Follow the consensus,19,White,,Male,,Finance,4,7,Disagree strongly,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Republican,,10,the traveler would necessarily end up in the same place in (1) and (2),White,60 minutes,Be a common cold virus thrown into sulfuric acid,"""Which door would the other guard say leads to freedom?""",the unstoppable force moves through the immovable object without interacting with it,no country presses the button and the status-quo remains,The sun,11,4,6,8,4,29396,0,0,4
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,5 (most ethical),3,Neither agree or disagree,Agree,Disagree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Disagree,No,Allowing investors to correctly assume that specific reported earnings will be around a desirable or non-desirable amount allows for companies to maintain a positive public perception.,"A reporting system, in the favor of companies that wish to increase their number of investors, that slightly adjusts their reported earnings is ethically wrong. Not only is this due to the fact that it is a lie, but it ultimately will harm the trust that investors place in the business. ",No questions.,In Favor (adopt new policy),18,"White,Spanish, Hispanic, or Latino",,Male,,Finance and Healthcare Management,3.8,7,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Disagree,Disagree,Neither agree or disagree,Independent,,10,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,60 minutes,Be an alien on the surface of a star going supernova,There is no way of knowing the correct door.,the unstoppable force moves through the immovable object without interacting with it,no country presses the button and the status-quo remains,An asteroid.,999,3,6,8,3,29451,0,0,3
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,4,4,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Yes,It is more ethical,Should be more transparent,No questions,In Favor (adopt new policy),20,White,,Male,,Economics,3.7,9,Agree,Agree,Disagree,Agree strongly,Disagree,Disagree,Agree,Agree,Republican,,0,"the traveler would necessarily end up in the same place in (1), but not necessarily in (2)",Brown,90 minutes,Be an alien on the surface of a star going supernova,"""Will you let me through the correct door?""",the unstoppable force goes around the immovable object,no country presses the button and the status-quo remains,Aliens,500,10,9,9,2,29581,0,0,2
$4.50 ,,$4.75 ,,4,2,Neither agree or disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,No,"If investors already assume that they would have to depreciate the cost, it shouldn't matter to ABC to change their policy. It would also look better for them in terms of raising equity in the next few years.","An ethical policy wouldn't lie to the people it's being given to. However, an exception exists in these people knowing about any deceptions that may be included. It's the same as participating in a study, there will always be a debrief at the end of the study, to ensure that people are aware of their actions and the meaning derived from what they may have performed.",No questions,Against (retain current policy),,,,,,,,,,,,,,,,,,,,18,Asian,,Female,,Marketing,N/A,7,Agree strongly,Agree,Disagree,Agree,Neither agree or disagree,Disagree,Agree,Agree,Democrat,,100,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,90 minutes,Be an alien on the surface of a star going supernova,"""Which door would the other guard say leads to freedom?""",the unstoppable force goes around the immovable object,no country presses the button and the status-quo remains,A comet,999,,6,8,2,29450,0,0,2
$4.50 ,,$4.75 ,,5 (most ethical),2,Neither agree or disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,No,I think that it works as is and would advesley effect more people if changed.,I think it is ehtical when all investors have the same info about the stock price and no perosn or group has more information than another becasue of some background change that isn't common knowledge.,No questions,Against (retain current policy),,,,,,,,,,,,,,,,,,,,20,White,,Male,,Communication Design,3.97,7,Disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Independent,,0,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,90 minutes,Be a man without air for one day,"""Which door would the other guard say leads to freedom?""",the unstoppable force moves through the immovable object without interacting with it,no country presses the button and the status-quo remains,meteoroid,11,2,6,10,2,29805,0,0,2
$4.50 ,,$4.75 ,,3,3,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Yes,"Although it might lead to short-term volatility, particularly if investors misunderstand the change, a phased approach with strong communication efforts can mitigate these risks. Over time, this transition will likely benefit ABC Company by reducing regulatory risks, enhancing transparency, and building stronger, long-term trust amon","an ethical reporting policy reflects a commitment to fair and accurate reporting, transparent practices, and respect for all investors, which ultimately supports the company's credibility and long-term success.",No questions,In Favor (adopt new policy),,,,,,,,,,,,,,,,,,,,18,Asian,,Female,,Business,？,4,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Neither agree or disagree,Disagree,Republican,,100,"the traveler would necessarily end up in the same place in (2), but not necessarily in (1)",Impossible to tell,90 minutes,Be a common cold virus thrown into sulfuric acid,"""Is the other guard lying?""",the unstoppable force goes around the immovable object,"one country presses the button and the others do not, that country wins the war",？,500,6,10,yes,3,29421,0,0,3
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,4,2,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,No,I think they should stay in the current policy,If the investors know that there is a bias otr unbias,no,Against (retain current policy),20,White,,Female,,finance and marketing,4,7,Agree,Disagree,Neither agree or disagree,Agree,Disagree,Disagree,Disagree,Disagree,Republican,,42,the traveler would necessarily end up in the same place in (1) and (2),White,90 minutes,Be a fish thrown in lava,"""Which door would the other guard say leads to freedom?""",the unstoppable force goes around the immovable object,no country presses the button and the status-quo remains,astroid,500,4,9,8,4,29796,0,0,4
$4.50 ,,$4.75 ,,3,3,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Disagree,Neither agree or disagree,Yes,It's so unethical,"An ethical reporting policy should prioritize accuracy, transparency, fairness, and accountability",no questions,Abstain,,,,,,,,,,,,,,,,,,,,18,White,,Male,,Finance,N/A,6,Agree,Neither agree or disagree,Neither agree or disagree,Disagree,Disagree,Disagree,Neither agree or disagree,Disagree,Republican,,100,"the traveler would necessarily end up in the same place in (1), but not necessarily in (2)",Brown,90 minutes,Be an alien on the surface of a star going supernova,"""Will you let me through the correct door?""",the unstoppable force goes around the immovable object,no country presses the button and the status-quo remains,U1 'Oumuamua,500,4,8,4,2,29406,0,0,2
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,3,4,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Yes,more ethical,fair for the people it affects,no,In Favor (adopt new policy),20,Asian,,Female,,finance,3.73,8,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Republican,,100,the traveler would not necessarily end up in the same place in (1) or (2),Black,30 minutes,Be a man without air for one day,"""Is the other guard lying?""",the unstoppable force goes around the immovable object,two or more countries press the button and nuclear annihilation occurs,rock,500,,10,5-,1,29192,0,0,1
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,2,4,Disagree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Disagree,Agree,Disagree,Yes,I would recommend changing the policy and promoting the truth honestly to investors.,I think the report being ethical correlates with the report being unbiased and truly reflective of the earnings per share.,No questions ,Follow the consensus,19,"Spanish, Hispanic, or Latino",,Female,,"Financial Engineering, Econ & Strat",3.97,6,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Agree,Democrat,,10,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,60 minutes,Be an alien on the surface of a star going supernova,"""Which door would the other guard say leads to freedom?""",the unstoppable force goes around the immovable object,no country presses the button and the status-quo remains,no idea,11,3,5,5,3,29391,0,0,3
$4.50 ,,$4.75 ,,3,5 (most ethical),Neither agree or disagree,Neither agree or disagree,Agree,Agree,Disagree,Disagree,Neither agree or disagree,Neither agree or disagree,No opinion,I have no opinion as to what they should do,It's ethical because it's already known to be biased,no questions,Against (retain current policy),,,,,,,,,,,,,,,,,,,,18,"Spanish, Hispanic, or Latino",,Male,,Finance,4,7,Agree,Disagree strongly,Disagree,Agree strongly,Disagree strongly,Disagree strongly,Neither agree or disagree,Neither agree or disagree,Democrat,,100,the traveler would necessarily end up in the same place in (1) and (2),Black,60 minutes,Be an alien on the surface of a star going supernova,"""Does your door lead to freedom?""",the unstoppable force moves through the immovable object without interacting with it,no country presses the button and the status-quo remains,Pluto,11,,6,8,3,29394,0,0,3
$4.50 ,,$4.75 ,,2,4,Agree strongly,Disagree,Agree strongly,Disagree,Agree strongly,Disagree,Agree strongly,Disagree,Yes,"While it may hurt the share price in the short term, the overarching SEC risk outweighs this. It is also morally wrong to mis-report earnings for any reason. ",Reporting the actual figures. That is literally it. ,Why was this policy originally implemented?,In Favor (adopt new policy),,,,,,,,,,,,,,,,,,,,20,White,,Male,,Finance and Computer Science,3.98,9,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Democrat,,42,the traveler would not necessarily end up in the same place in (1) or (2),White,60 minutes,Be an alien on the surface of a star going supernova,"""Which door would the other guard say leads to freedom?""",the unstoppable force moves through the immovable object without interacting with it,no country presses the button and the status-quo remains,Meteor,500,10,8,10,7,29776,0,0,7
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,4,2,Agree,Disagree,Neither agree or disagree,Agree,Agree,Disagree,Agree,Disagree,No,"I believe the current policy is the most understood policy by both the company and investors, and changing the policy without telling investors would lead to their party misunderstanding.","An ethical reporting policy is foremost truthful and accurate, and if it is not, then investors must understand the changes and stakes.",No questions,Against (retain current policy),18,White,,Female,,Organization and Strategic Management,N/A - First-year,3,Agree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Disagree,Disagree,Agree,Democrat,,42,the traveler would not necessarily end up in the same place in (1) or (2),White,60 minutes,Be an alien on the surface of a star going supernova,"""Is the other guard lying?""",the immovable object repels the unstoppable force,two or more countries press the button and nuclear annihilation occurs,Oumuamua,500,,6,8,6,29320,0,0,6
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,1 (least ethical),4,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,no,idk,no questions,In Favor (adopt new policy),18,White,,Male,,finance,4,9,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Republican,,42,the traveler would necessarily end up in the same place in (1) and (2),White,120 minutes,Be an alien on the surface of a star going supernova,"""Does your door lead to freedom?""",the unstoppable force goes around the immovable object,no country presses the button and the status-quo remains,rocket,500,10,7,10,4,29373,0,0,4
$4.50 ,,$4.75 ,,2,2,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Yes,it is deceptive to inaccurately portray the value of the EPS,an accurate value with the investors clued in,no,In Favor (adopt new policy),,,,,,,,,,,,,,,,,,,,20,White,,Female,,English,3.86,7,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Democrat,,100,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,90 minutes,Be a man without air for one day,"""Which door would the other guard say leads to freedom?""",the immovable object repels the unstoppable force,no country presses the button and the status-quo remains,sun,500,2,7,10,2,29658,0,0,2
$4.50 ,,$4.75 ,,3,4,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Disagree,Agree strongly,Neither agree or disagree,Disagree strongly,No,"I don't have a recommendation, the policy seems secure.","An ethical reporting policy prioritizes accuracy, fairness, transparency, accountability and respect for privacy, ensuring information is presented truthfully and responsibly. ",no questions,Against (retain current policy),,,,,,,,,,,,,,,,,,,,18,Black or African American,,Female,,marketing,idk,4,Agree,Disagree,Neither agree or disagree,Agree,Disagree,Agree,Agree,Disagree,Democrat,,42,"the traveler would necessarily end up in the same place in (2), but not necessarily in (1)",Black,60 minutes,Be a fish thrown in lava,"""Will you let me through the correct door?""",the immovable briefly teleports out of the way to let the unstoppable force through,two or more countries press the button and nuclear annihilation occurs,Venus ,999,3,10-Jul,10-Aug,3,29521,0,0,3
$4.50 ,,$4.75 ,,2,5 (most ethical),Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Yes,"An unbiased approach is more transparent and reduces legal risk. It’s better for long-term trust, even if it may cause a short-term dip in stock price.","An ethical policy should be honest, clear, and fair to all investors. It should show accurate earnings without adjustments that only some investors understand.",How will we explain the change to investors? What’s the plan if the stock price drops? How will we make sure retail investors understand the change?,In Favor (adopt new policy),,,,,,,,,,,,,,,,,,,,20,White,,Male,,"Finance, Marketing",3.72,5,Neither agree or disagree,Disagree,Neither agree or disagree,Agree,Neither agree or disagree,Disagree,Disagree,Agree,Republican,,100,the traveler would necessarily end up in the same place in (1) and (2),White,90 minutes,Be an alien on the surface of a star going supernova,"""Which door would the other guard say leads to freedom?""",the immovable object repels the unstoppable force,"one country presses the button and the others do not, that country wins the war",Oumuamua,500,10,9,10,6,29567,0,0,6
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,3,5 (most ethical),Neither agree or disagree,Disagree strongly,Agree,Disagree,Agree,Disagree,Agree,Disagree,Yes,Transparency is key for success,transparent,why do people assume bias? How do we diversify to decrease bias?,Follow the consensus,20,White,,Female,,Finance,3.8,5,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Disagree,Disagree,Disagree,Agree,Republican,,42,the traveler would not necessarily end up in the same place in (1) or (2),Impossible to tell,90 minutes,Be a man without air for one day,"""Does your door lead to freedom?""",the immovable object repels the unstoppable force,no country presses the button and the status-quo remains,i have no idea,11,1,3,8,1,29794,0,0,1
$4.50 ,,$4.75 ,,3,3,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Yes,"I would recommend changing to the new unbiased reporting policy to enhance transparency, reduce legal risks, and build long-term trust with investors. Although there may be a short-term negative market reaction, clear communication can help investors understand that this change reflects a commitment to honest reporting, not weaker performance. This shift will ultimately create a fairer, more stable environment for both retail and sophisticated investors.","An ethical reporting policy should provide accurate, unbiased information, ensuring transparency and fairness for all investors by avoiding manipulative practices and clearly communicating any policy changes.",No questions,Abstain,,,,,,,,,,,,,,,,,,,,18,Asian,,Male,,Unspecified Business,n/a,7,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Independent,,100,"the traveler would necessarily end up in the same place in (2), but not necessarily in (1)",White,60 minutes,Be an alien on the surface of a star going supernova,"""Which door would the other guard say leads to freedom?""",the immovable object repels the unstoppable force,"one country presses the button and the others do not, that country wins the war",No idea,11,,10-Oct,10-Oct,6,29447,0,0,6
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,3,3,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Agree,Agree,Agree,Agree,No,I would not recommend this becuase this method could be bad in the long run. Most of the investors are gonna get upset making the comapny suffer. ,I would view a reporting policy as ethical if it did not deceive anyone. ,No questions,Against (retain current policy),18,Asian,,Male,,Business,3.9,6,Agree,Agree,Disagree,Agree,Agree,Neither agree or disagree,Agree,Disagree,Independent,,100,"the traveler would necessarily end up in the same place in (1), but not necessarily in (2)",White,90 minutes,Be an alien on the surface of a star going supernova,"""Will you let me through the correct door?""",the immovable briefly teleports out of the way to let the unstoppable force through,"one country presses the button and the others do not, that country wins the war",Oumuamua,500,6,80,80,5,29362,0,0,5
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,2,4,Agree,Disagree,Agree,Neither agree or disagree,Agree,Disagree,Agree,Disagree,Yes,Because they should avoid legal trouble and avoid getting on bad terms with investors at all costs. Relationships are everything.,In order for it to be ethical it must be accurate,no questions,In Favor (adopt new policy),18,White,,Male,,Entrepreneurship,4,7,Disagree,Agree,Disagree,Agree,Neither agree or disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Other,N/A,100,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,90 minutes,Be an alien on the surface of a star going supernova,"""Is the other guard lying?""",the unstoppable force goes around the immovable object,no country presses the button and the status-quo remains,no idea,11,1,10-May,10-Jul,1,29418,0,0,1
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,4,2,Disagree,Disagree strongly,Neither agree or disagree,Agree,Disagree,Disagree strongly,Neither agree or disagree,Disagree,No,"The part of the thing is that all the investrors know that company is under-estimating the profits by 50 cents, and small investors that are not aware are also happy because of the profit. ","Ethical is the one that you cannot say anything about it truthfull, so you cannot even emagine ether the data is correct or lying. In case of this study, they have constant difference between declared and the actual returns, and it is only around 5% of the price.","Could we do a graduate lowering the estimation of the returns? Not from 5% to 0%, but ether more for example 5% to 4% to 3% to 2% to 1% to 0, so that none of the investors could be affected so much at the moment, and more gradually learning to the time. ",Against (retain current policy),19,White,,Female,,Business and Computer Science,4,8,Agree,Neither agree or disagree,Agree,Agree strongly,Disagree,Neither agree or disagree,Agree,Neither agree or disagree,Democrat,,42,the traveler would not necessarily end up in the same place in (1) or (2),Impossible to tell,60 minutes,Be an earthworm crushed in an industrial press,"""Which door would the other guard say leads to freedom?""",the unstoppable force moves through the immovable object without interacting with it,no country presses the button and the status-quo remains,Some comet?,999,4,7,9,4,29324,0,0,4
$4.50 ,,$4.75 ,,2,4,Agree,Disagree strongly,Agree,Disagree strongly,Agree,Disagree strongly,Agree,Disagree strongly,No opinion,I'm not sure how to mitigate the issue about some investors not being aware of the change.,Honesty. Not skewed.,No questions,In Favor (adopt new policy),,,,,,,,,,,,,,,,,,,,20,White,,Female,,Accounting,3.8,3,Agree,Disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Democrat,,0,the traveler would not necessarily end up in the same place in (1) or (2),White,90 minutes,Be a common cold virus thrown into sulfuric acid,There is no way of knowing the correct door.,the unstoppable force moves through the immovable object without interacting with it,no country presses the button and the status-quo remains,Comet,500,3,5,5,3,29641,0,0,3
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,2,4,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Yes,because its not honest ,I think reporting in a accurate and honest way is what makes a reporting policy ethical ,no questions,Follow the consensus,19,White,,Female,,undecide,1st semester freshman - have not received my grades ,7,Agree,Disagree,Neither agree or disagree,Agree,Disagree,Disagree,Disagree,Disagree,Democrat,,0,the traveler would not necessarily end up in the same place in (1) or (2),Impossible to tell,60 minutes,Be an alien on the surface of a star going supernova,There is no way of knowing the correct door.,the immovable briefly teleports out of the way to let the unstoppable force through,no country presses the button and the status-quo remains,idk,1,2,75%,8,2,29386,0,0,2
$4.50 ,,$4.75 ,,4,5 (most ethical),Agree,Disagree,Agree,Disagree,Agree,Disagree strongly,Agree,Disagree strongly,Yes,Just change it to make your financial numbers match reality. Try to publicize the policy change as best as possible to minimize wrong perceptions. ,"My only criteria for ethical reporting is that the numbers reported match the reality of the business to the best of that firm's ability. Not every investor is aware of bias, so accurate reporting in crucial for everyone to understand the state of the company.",No questions,In Favor (adopt new policy),,,,,,,,,,,,,,,,,,,,18,White,,Male,,Finance,3.9,8,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Disagree,Neither agree or disagree,Agree,Agree,Republican,,10,the traveler would not necessarily end up in the same place in (1) or (2),White,60 minutes,Be a common cold virus thrown into sulfuric acid,"""Which door would the other guard say leads to freedom?""",the unstoppable force goes around the immovable object,no country presses the button and the status-quo remains,I don't know,11,3,6,7,3,29436,0,0,3
$4.50 ,,$4.75 ,,2,4,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Yes,"For a business to be successful, transparency and honesty are good values to be associated with your business. ",I think reporting the price as truthfully as possible gives investors the best insight into the potential profit they can make from investing in your company. ,Can the policy be phased out? Start over-assuming by .50 and slowly go down to no assumptions at all.,In Favor (adopt new policy),,,,,,,,,,,,,,,,,,,,18,White,,Male,,Marketing,3.52,7,Neither agree or disagree,Agree,Neither agree or disagree,Disagree,Agree,Neither agree or disagree,Agree,Agree,Democrat,,0,the traveler would not necessarily end up in the same place in (1) or (2),White,60 minutes,Be an alien on the surface of a star going supernova,"""Which door would the other guard say leads to freedom?""",the unstoppable force moves through the immovable object without interacting with it,two or more countries press the button and nuclear annihilation occurs,HUBLE telescope,11,7,70,65,5,29799,0,0,5
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,4,3,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Agree,Agree,Agree,Neither agree or disagree,Yes,It's more ethical,Better for the people,No questions,Against (retain current policy),20,Asian,,Female,,Business,3.72,7,Agree,Neither agree or disagree,Agree,Disagree,Agree,Agree,Neither agree or disagree,Agree,Republican,,10,"the traveler would necessarily end up in the same place in (2), but not necessarily in (1)",Brown,90 minutes,Be a common cold virus thrown into sulfuric acid,"""Does your door lead to freedom?""",the unstoppable force moves through the immovable object without interacting with it,no country presses the button and the status-quo remains,Moon,500,3,5,8,3,28959,0,0,3
$4.50 ,,$4.75 ,,2,4,Agree,Disagree,Agree strongly,Disagree,Agree,Disagree,Agree,Disagree,Yes,Because it reduces the risk of liability as the lawyers stated. The new policy would eliminate the biased reporting and allow investors to take the firm for their word.,"I think it is most ethical not to confuse using semantics. Rather, they should state up front their true earnings to maintain a healthy, honest relationship",No questions,In Favor (adopt new policy),,,,,,,,,,,,,,,,,,,,18,Black or African American,,Female,,Marketing,N/A,6,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Other,,0,the traveler would not necessarily end up in the same place in (1) or (2),Impossible to tell,90 minutes,Be a fish thrown in lava,There is no way of knowing the correct door.,the unstoppable force goes around the immovable object,no country presses the button and the status-quo remains,star,11,,10,2,0,29546,0,0,0
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,4,2,Agree,Disagree,Disagree,Neither agree or disagree,Agree,Disagree,Agree,Disagree,Yes,"Yes, but I think with a note in the financial statements/some sort of announcement to ensure that as many investors are educated about the adjustment as possible. ",The reporting policy should ideally reflect actual reality as closely as possible so that investors are as well-informed about the actual state of the company as possible.,No questions,In Favor (adopt new policy),20,Asian,,Female,,Accounting,3.97,3,Agree,Disagree,Disagree,Disagree,Disagree strongly,Disagree,Neither agree or disagree,Disagree,Democrat,,42,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,90 minutes,Be an alien on the surface of a star going supernova,"""Which door would the other guard say leads to freedom?""",the unstoppable force moves through the immovable object without interacting with it,no country presses the button and the status-quo remains,a random space rock,11,6,80%,90%,4,29595,0,0,4
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,4,3,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Yes,The new policy ensures the company can communicate their reporting in an unbiased manner.,"I view unbiased, accurate, and up to date information as characteristics of a reporting policy.",No questions,In Favor (adopt new policy),18,Asian,,Female,,Finance,4,7,Agree,Agree,Agree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Agree,Democrat,,100,"the traveler would necessarily end up in the same place in (1), but not necessarily in (2)",Brown,60 minutes,Be an earthworm crushed in an industrial press,There is no way of knowing the correct door.,the unstoppable force goes around the immovable object,no country presses the button and the status-quo remains,Star,500,,8,9,2,29427,0,0,2
$4.50 ,,$4.75 ,,2,4,Agree,Neither agree or disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Yes,It's best to be honest no matter what,"I would view a reporting policy as ethical if it tells the truth, even if previous policy didn't tell the truth. ",No questions,Abstain,,,,,,,,,,,,,,,,,,,,19,White,,Male,,undecided business,n/a,8,Disagree,Disagree,Neither agree or disagree,Agree,Neither agree or disagree,Disagree,Agree,Agree,Democrat,,42,the traveler would necessarily end up in the same place in (1) and (2),White,90 minutes,Be an alien on the surface of a star going supernova,"""Will you let me through the correct door?""",the unstoppable force goes around the immovable object,"one country presses the button and the others do not, that country wins the war",the meteor that killed the dinosaurs,11,4,6,10,4,29338,0,0,4
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,2,4,Agree,Disagree,Agree,Disagree,Agree,Disagree strongly,Agree,Disagree strongly,Yes,"Because even in the short term if it causes confusion, in the long term it will be significantly better for the company both from a legal perspective and fair to all investors. Especially because many small investors probably don't look heavily into the policy in the first place and didn't know about the 50 cent difference.","I think reporting the actual values would be most ethical, even if it may temporarily confuse investors to change the reporting policy.",No questions,In Favor (adopt new policy),18,White,,Male,,Business and Computer Science (BUCS),N/A - first semester at washu,9,Disagree,Disagree,Disagree,Agree,Disagree strongly,Neither agree or disagree,Disagree strongly,Agree,Democrat,,42,the traveler would not necessarily end up in the same place in (1) or (2),Impossible to tell,90 minutes,Be a fish thrown in lava,There is no way of knowing the correct door.,the unstoppable force moves through the immovable object without interacting with it,no country presses the button and the status-quo remains,"Probably like an asteroid, I have literally no idea ",11,2,6,4,2,29520,0,0,2
